offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
44258,0xACE2,98,branch_candidate,unconditional_jump,3,62 00 82,130,44391
44273,0xACF1,99,branch_candidate,jump_false,3,63 00 3B,59,44335
44332,0xAD2C,98,branch_candidate,unconditional_jump,3,62 00 38,56,44391
44413,0xAD7D,99,branch_candidate,jump_false,3,63 01 E1,481,44897
44446,0xAD9E,99,branch_candidate,jump_false,3,63 00 02,2,44451
44464,0xADB0,99,branch_candidate,jump_false,3,63 01 59,345,44812
44474,0xADBA,102,branch_candidate,jump_le,3,66 01 4F,335,44812
44508,0xADDC,99,branch_candidate,jump_false,3,63 00 49,73,44584
44511,0xADDF,82,call_candidate,call2,3,52 AF 63,-20637,23877
44581,0xAE25,98,branch_candidate,unconditional_jump,3,62 00 E4,228,44812
44602,0xAE3A,99,branch_candidate,jump_false,3,63 00 49,73,44678
44605,0xAE3D,82,call_candidate,call2,3,52 AF 63,-20637,23971
44675,0xAE83,98,branch_candidate,unconditional_jump,3,62 00 86,134,44812
44688,0xAE90,99,branch_candidate,jump_false,3,63 00 3D,61,44752
44693,0xAE95,83,call_candidate,call2,3,53 82 8C,-32116,12580
44749,0xAECD,98,branch_candidate,unconditional_jump,3,62 00 3C,60,44812
44762,0xAEDA,103,branch_candidate,jump_lt,3,67 00 2F,47,44812
44812,0xAF0C,82,call_candidate,call2,3,52 AF 63,-20637,24178
44817,0xAF11,82,call_candidate,call2,3,52 5C F5,23797,68617
44820,0xAF14,99,branch_candidate,jump_false,3,63 00 36,54,44877
44874,0xAF4A,98,branch_candidate,unconditional_jump,3,62 00 12,18,44895
44986,0xAFBA,83,call_candidate,call2,3,53 E3 4E,-7346,37643
44989,0xAFBD,99,branch_candidate,jump_false,3,63 00 03,3,44995
44992,0xAFC0,98,branch_candidate,unconditional_jump,3,62 00 00,0,44995
45028,0xAFE4,99,branch_candidate,jump_false,3,63 01 08,264,45295
45061,0xB005,99,branch_candidate,jump_false,3,63 00 02,2,45066
45079,0xB017,99,branch_candidate,jump_false,3,63 00 A7,167,45249
45089,0xB021,102,branch_candidate,jump_le,3,66 00 9D,157,45249
45123,0xB043,99,branch_candidate,jump_false,3,63 00 0A,10,45136
45133,0xB04D,98,branch_candidate,unconditional_jump,3,62 00 71,113,45249
45154,0xB062,99,branch_candidate,jump_false,3,63 00 0A,10,45167
45164,0xB06C,98,branch_candidate,unconditional_jump,3,62 00 52,82,45249
45177,0xB079,99,branch_candidate,jump_false,3,63 00 09,9,45189
45180,0xB07C,82,call_candidate,call2,3,52 B1 34,-20172,25011
45186,0xB082,98,branch_candidate,unconditional_jump,3,62 00 3C,60,45249
45199,0xB08F,103,branch_candidate,jump_lt,3,67 00 2F,47,45249
45289,0xB0E9,82,call_candidate,call2,3,52 B0 F1,-20239,25053
45305,0xB0F9,101,branch_candidate,jump_eq,3,65 00 2C,44,45352
45318,0xB106,85,call_candidate,call2,3,55 6F 4B,28491,73812
45321,0xB109,99,branch_candidate,jump_false,3,63 00 1C,28,45352
45327,0xB10F,99,branch_candidate,jump_false,3,63 00 16,22,45352
45339,0xB11B,99,branch_candidate,jump_false,3,63 00 0A,10,45352
45471,0xB19F,82,call_candidate,call2,3,52 B2 D0,-19760,25714
45474,0xB1A2,99,branch_candidate,jump_false,3,63 01 29,297,45774
45534,0xB1DE,105,branch_candidate,jump_gt,3,69 00 EB,235,45772
45560,0xB1F8,100,branch_candidate,jump_ne,3,64 00 3C,60,45623
45637,0xB245,99,branch_candidate,jump_false,3,63 00 07,7,45647
45644,0xB24C,98,branch_candidate,unconditional_jump,3,62 FF EF,-17,45630
45720,0xB298,82,call_candidate,call2,3,52 53 00,21248,66971
45769,0xB2C9,98,branch_candidate,unconditional_jump,3,62 FF 0B,-245,45527
45814,0xB2F6,99,branch_candidate,jump_false,3,63 00 02,2,45819
45857,0xB321,82,call_candidate,call2,3,52 B2 D0,-19760,26100
45860,0xB324,99,branch_candidate,jump_false,3,63 00 DF,223,46086
45885,0xB33D,100,branch_candidate,jump_ne,3,64 00 36,54,45942
45956,0xB384,99,branch_candidate,jump_false,3,63 00 07,7,45966
45963,0xB38B,98,branch_candidate,unconditional_jump,3,62 FF EF,-17,45949
46041,0xB3D9,82,call_candidate,call2,3,52 53 00,21248,67292
46109,0xB41D,99,branch_candidate,jump_false,3,63 00 17,23,46135
46112,0xB420,82,call_candidate,call2,3,52 64 57,25687,71802
46124,0xB42C,99,branch_candidate,jump_false,3,63 00 06,6,46133
46160,0xB450,99,branch_candidate,jump_false,3,63 00 32,50,46213
46197,0xB475,99,branch_candidate,jump_false,3,63 00 07,7,46207
46204,0xB47C,98,branch_candidate,unconditional_jump,3,62 00 04,4,46211
46234,0xB49A,99,branch_candidate,jump_false,3,63 00 1F,31,46268
46251,0xB4AB,102,branch_candidate,jump_le,3,66 00 0C,12,46266
46291,0xB4D3,99,branch_candidate,jump_false,3,63 00 A2,162,46456
46316,0xB4EC,99,branch_candidate,jump_false,3,63 00 1D,29,46348
46345,0xB509,98,branch_candidate,unconditional_jump,3,62 00 6A,106,46454
46370,0xB522,99,branch_candidate,jump_false,3,63 00 1D,29,46402
46399,0xB53F,98,branch_candidate,unconditional_jump,3,62 00 34,52,46454
46425,0xB559,99,branch_candidate,jump_false,3,63 00 1A,26,46454
46481,0xB591,99,branch_candidate,jump_false,3,63 00 49,73,46557
46581,0xB5F5,99,branch_candidate,jump_false,3,63 00 A2,162,46746
46641,0xB631,99,branch_candidate,jump_false,3,63 00 14,20,46664
46667,0xB64B,82,call_candidate,call2,3,52 53 00,21248,67918
46737,0xB691,82,call_candidate,call2,3,52 B6 9C,-18788,27952
46782,0xB6BE,99,branch_candidate,jump_false,3,63 01 07,263,47048
46842,0xB6FA,99,branch_candidate,jump_false,3,63 00 14,20,46865
46868,0xB714,82,call_candidate,call2,3,52 53 00,21248,68119
46951,0xB767,82,call_candidate,call2,3,52 53 00,21248,68202
47039,0xB7BF,82,call_candidate,call2,3,52 B6 9C,-18788,28254
47073,0xB7E1,99,branch_candidate,jump_false,3,63 00 ED,237,47313
47133,0xB81D,99,branch_candidate,jump_false,3,63 00 14,20,47156
47159,0xB837,82,call_candidate,call2,3,52 53 00,21248,68410
47240,0xB888,82,call_candidate,call2,3,52 53 00,21248,68491
47291,0xB8BB,99,branch_candidate,jump_false,3,63 00 11,17,47311
47339,0xB8EB,99,branch_candidate,jump_false,3,63 00 38,56,47398
47422,0xB93E,99,branch_candidate,jump_false,3,63 00 90,144,47569
47429,0xB945,102,branch_candidate,jump_le,3,66 00 47,71,47503
47500,0xB98C,98,branch_candidate,unconditional_jump,3,62 00 40,64,47567
47607,0xB9F7,99,branch_candidate,jump_false,3,63 00 4D,77,47687
47617,0xBA01,105,branch_candidate,jump_gt,3,69 00 41,65,47685
47633,0xBA11,99,branch_candidate,jump_false,3,63 00 13,19,47655
47652,0xBA24,98,branch_candidate,unconditional_jump,3,62 00 12,18,47673
47682,0xBA42,98,branch_candidate,unconditional_jump,3,62 FF B8,-72,47613
47719,0xBA67,99,branch_candidate,jump_false,3,63 00 C3,195,47917
47726,0xBA6E,102,branch_candidate,jump_le,3,66 00 8D,141,47870
47746,0xBA82,99,branch_candidate,jump_false,3,63 00 0B,11,47760
47757,0xBA8D,98,branch_candidate,unconditional_jump,3,62 00 6B,107,47867
47769,0xBA99,99,branch_candidate,jump_false,3,63 00 06,6,47778
47775,0xBA9F,98,branch_candidate,unconditional_jump,3,62 00 59,89,47867
47788,0xBAAC,99,branch_candidate,jump_false,3,63 00 0B,11,47802
47799,0xBAB7,98,branch_candidate,unconditional_jump,3,62 00 41,65,47867
47813,0xBAC5,99,branch_candidate,jump_false,3,63 00 06,6,47822
47819,0xBACB,98,branch_candidate,unconditional_jump,3,62 00 2D,45,47867
47867,0xBAFB,98,branch_candidate,unconditional_jump,3,62 00 2D,45,47915
47939,0xBB43,99,branch_candidate,jump_false,3,63 03 B0,944,48886
