# Code RED source/decompiled export
# Source: research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/pass29_line_hits.csv
# SHA1: be4ac746b184407bcedbca91405bb32e90cd2be6

line,function,position,term,text
23148,Function_736,0x26611,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
23148,Function_736,0x26611,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
23239,Function_736,0x26611,Local_6 + 1184[02],"if (IS_ACTOR_IN_VOLUME(&Local_6 + 1184[02], &Local_6 + 2192))"
23248,Function_736,0x26611,Local_6 + 1184[02],STOP_VEHICLE(&Local_6 + 1184[02]);
23293,Function_736,0x26611,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
23293,Function_736,0x26611,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
23308,Function_736,0x26611,Local_6 + 1184[02],STOP_VEHICLE(&Local_6 + 1184[02]);
23515,Function_743,0x272B8,Local_6 + 1184[02],"SET_ACTOR_SPEED(&Local_6 + 1184[02], 0.0f);"
23516,Function_743,0x272B8,Local_6 + 1184[02],"TELEPORT_ACTOR_WITH_HEADING(&uLocal_1630, &Local_6 + 1184[02], *(&Local_6 + 3176), 1, 1, 1);"
23552,Function_743,0x272B8,Local_6 + 1184[02],if (!IS_VEHICLE_ENGINE_RUNNING(&Local_6 + 1184[02]))
23554,Function_743,0x272B8,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
23554,Function_743,0x272B8,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
23566,Function_743,0x272B8,Local_6 + 1184[02],ACTIVATE_PHYSINST(GET_PHYSINST_FROM_ACTOR(&Local_6 + 1184[02]));
23567,Function_743,0x272B8,Local_6 + 1184[02],"SET_PROP_VELOCITY(GET_PHYSINST_FROM_ACTOR(&Local_6 + 1184[02]), &uVar0);"
23705,Function_748,0x27A55,MaximShootTruck,"_GRINGO_SET_IS_USABLE_BY_PLAYER(&uVar0, ""MaximShootTruck"", 0);"
23720,Function_749,0x27AD9,gattling_attach,"GET_LOCATOR_OFFSETS(GET_PHYSINST_FROM_OBJECT(&Local_6 + 1184[02]), ""gattling_attach"", &Var0, &Var2);"
23720,Function_749,0x27AD9,Local_6 + 1184[02],"GET_LOCATOR_OFFSETS(GET_PHYSINST_FROM_OBJECT(&Local_6 + 1184[02]), ""gattling_attach"", &Var0, &Var2);"
23721,Function_749,0x27AD9,Local_6 + 1184[02],"ATTACH_OBJECTS(&uLocal_1391, &Local_6 + 1184[02], Function_54(), Var0, Var2, 4294967295);"
23848,Function_753,0x280A1,GET_ACTOR_ENUM,"SET_BLIP_NAME(&Global_15402[iParam014] + 104, GET_ACTOR_ENUM_STRING(GET_ACTOR_FROM_OBJECT(&uVar0)));"
24275,Function_770,0x289BA,TASK_VEHICLE_ENTER_SPECIFIC_LOCATION,"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(0, &Local_6 + 1184[02], 0, 4, 0);"
24275,Function_770,0x289BA,Local_6 + 1184[02],"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(0, &Local_6 + 1184[02], 0, 4, 0);"
24283,Function_770,0x289BA,Local_6 + 1184[02],"TASK_FOLLOW_ACTOR(&Local_6 + 1208[02], &Local_6 + 1184[02]);"
24288,Function_770,0x289BA,TASK_VEHICLE_ENTER_SPECIFIC_LOCATION,"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(&iLocal_1189, &Local_6 + 1184[02], 1, 4, 0);"
24288,Function_770,0x289BA,Local_6 + 1184[02],"TASK_VEHICLE_ENTER_SPECIFIC_LOCATION(&iLocal_1189, &Local_6 + 1184[02], 1, 4, 0);"
24297,Function_771,0x28A48,START_VEHICLE,START_VEHICLE(&uParam0);
24298,Function_771,0x28A48,SET_VEHICLE_ENGINE_RUNNING,"SET_VEHICLE_ENGINE_RUNNING(&uParam0, 1);"
24318,Function_772,0x28A6D,Local_6 + 1184[02],"if (IS_ACTOR_IN_VOLUME(&Local_6 + 1184[02], &Local_6 + 2200))"
24343,Function_772,0x28A6D,1197,bLocal_1197 = true;
24345,Function_772,0x28A6D,1197,if (!bLocal_1197)
24362,Function_772,0x28A6D,1197,bLocal_1197 = true;
24364,Function_772,0x28A6D,1197,if (!bLocal_1197)
24382,Function_772,0x28A6D,1197,if (STREAMING_IS_WORLD_LOADED() && bLocal_1197)
24384,Function_772,0x28A6D,Local_6 + 1184[02],"TELEPORT_ACTOR_WITH_HEADING(&bLocal_1352, &Local_6 + 1184[02], *(&Local_6 + 2688[03]), 1, 1, 1);"
24399,Function_772,0x28A6D,Local_6 + 1184[02],if (&Local_6 + 1184[02])
24419,Function_772,0x28A6D,START_VEHICLE,START_VEHICLE(&Local_6 + 1184[02]);
24419,Function_772,0x28A6D,Local_6 + 1184[02],START_VEHICLE(&Local_6 + 1184[02]);
24467,Function_772,0x28A6D,Local_6 + 1184[02],"GET_OBJECT_RELATIVE_POSITION(&Local_6 + 1184[02], Local_1388, &Local_1388);"
24643,Function_777,0x293DD,START_VEHICLE,START_VEHICLE(&uParam0);
24804,Function_783,0x2974A,Local_6 + 1184[02],"GET_OBJECT_RELATIVE_POSITION(&Local_6 + 1184[02], Var4, &Var6);"
24808,Function_783,0x2974A,Local_6 + 1184[02],"GET_OBJECT_RELATIVE_POSITION(&Local_6 + 1184[02], Var4, &Var6);"
25042,Function_792,0x29B4B,ATTACH_DRAFT_TO_VEHICLE,"ATTACH_DRAFT_TO_VEHICLE(&uVar15, &uVar0, uVar9, 1);"
