# Code RED source/decompiled export
# Source: data/codered/faction_wars_actionable_targets.csv
# SHA1: f9589931db8580f41f04991eaa17756ee6bc5941

actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
1186,1061,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__Tune__-__Mirage__Spawner__Prop__List.xml.decompiled_source.txt,manifest/text,armadillo|blackwater|gaptooth|manzanita|mexico|tumbleweed,factions:531|scripting:29|spawning:36|war_behavior:65|weapons_pressure:185|world_hosts:185,,113235
1185,1060,tune/template pressure,research/Tune - Mirage Spawner/Prop List.xml,repo/text,armadillo|blackwater|gaptooth|manzanita|mexico|tumbleweed,factions:531|scripting:29|spawning:35|war_behavior:65|weapons_pressure:185|world_hosts:185,,108541
1150,1125,archive patch lane,research/wft_wedt_attachment_lab/candidate_transforms.csv,repo/text,,factions:921|weapons_pressure:204,,376839
1150,1125,archive patch lane,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__wft_wedt_attachment_lab__candidate_transforms.csv.decompiled_source.txt,manifest/text,,factions:921|weapons_pressure:204,,377932
1137,987,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__modified_xml__placementglobals_15_50_rival_gang_towns.xml.decompiled_source.txt,manifest/text,blackwater|landing|thieves,factions:196|scripting:23|spawning:435|war_behavior:145|weapons_pressure:11|world_hosts:162,,32183
1134,984,tune/template pressure,research/modified_xml/placementglobals_15_50_rival_gang_towns.xml,repo/text,blackwater|landing|thieves,factions:195|scripting:23|spawning:434|war_behavior:145|weapons_pressure:11|world_hosts:161,,31145
1030,955,tune/template pressure,research/wft_wedt_attachment_lab/smic_attachment_map.csv,repo/text,,factions:45|spawning:18|weapons_pressure:838|world_hosts:54,,119028
1030,955,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__wft_wedt_attachment_lab__smic_attachment_map.csv.decompiled_source.txt,manifest/text,,factions:45|spawning:18|weapons_pressure:838|world_hosts:54,,120077
987,912,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__dualgun_left_hand_bypass__smic_gunbelt_rows.csv.decompiled_source.txt,manifest/text,,spawning:18|weapons_pressure:840|world_hosts:54,,103177
986,911,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__wft_wedt_attachment_lab__smic_gunbelt_rows.csv.decompiled_source.txt,manifest/text,,spawning:18|weapons_pressure:839|world_hosts:54,,103176
985,910,tune/template pressure,research/wft_wedt_attachment_lab/smic_gunbelt_rows.csv,repo/text,,spawning:18|weapons_pressure:838|world_hosts:54,,102243
985,910,tune/template pressure,research/dualgun_left_hand_bypass/smic_gunbelt_rows.csv,repo/text,,spawning:18|weapons_pressure:838|world_hosts:54,,102243
933,833,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wsi_wgd_correlations.csv.decompiled_source.txt,manifest/text,blackwater,world_hosts:828,,89551
929,829,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_wgd_correlations.csv,repo/text,blackwater,world_hosts:824,,89103
856,831,script/native candidate,related_apps/Code_RED_ScriptHookRDR_AI_Menu/CodeRED_AI_Menu.bridge_candidate.cpp,repo/text,,factions:112|scripting:101|spawning:511|war_behavior:38|weapons_pressure:4|world_hosts:1,ai_is_hostile|create_actor|get_actor_faction|set_actor_faction|task_follow|task_kill|task_stand|task_wander,59828
730,705,archive patch lane,research/Code_RED_Car_Truck_FBI_Pass26_RESEARCH/reports/fbi_car_truck_raw_hits.csv,repo/text,,scripting:496|spawning:174|weapons_pressure:2|world_hosts:33,,79639
