# Code RED source/decompiled export
# Source: data/codered/faction_wars_targets.csv
# SHA1: b37f585be34a741f127b9af9c307ae0cd6b7a692

score,category,path,source_kind,regions,groups,high_value_terms,size
3148,script/native candidate,scratch/script_workshop_pipeline/import_queue/research/menu resources/natives.h,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3148,script/native candidate,scratch/script_workshop_pipeline/edit_workspace/research/menu resources/natives.h,manifest/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3148,research/reference,scratch/script_workshop_pipeline/decompiled_export/research__menu_resources__natives.h.decompiled.txt,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,431083
3148,script/native candidate,research/menu resources/natives.h,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3148,research/reference,related_apps/CodeRED_Script_Workshop/workspace/read/research__menu__resources__natives.h.fullread.txt,manifest/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,435010
3148,script/native candidate,related_apps/CodeRED_Script_Workshop/workspace/edit/research/menu resources/natives.h,manifest/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3148,research/reference,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__menu__resources__natives.h.decompiled_source.txt,manifest/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,435144
2741,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Cutscene_Placement_Pass15_Build__reports__tune_refgroup_vehicle_cutscene_candidates.csv.decompiled_source.txt,manifest/text,armadillo|blackwater|landing|tumbleweed,factions:78|scripting:11|spawning:739|war_behavior:64|weapons_pressure:276|world_hosts:1537,population|refgroup,299634
2739,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/tune_refgroup_vehicle_cutscene_candidates.csv,repo/text,armadillo|blackwater|landing|tumbleweed,factions:78|scripting:11|spawning:737|war_behavior:64|weapons_pressure:276|world_hosts:1537,population|refgroup,299046
2739,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/read/research__CodeRED_Cutscene_Placement_Pass15_Build__reports__tune_refgroup_vehicle_cutscene_candidates.csv.fullread.txt,manifest/text,armadillo|blackwater|landing|tumbleweed,factions:78|scripting:11|spawning:737|war_behavior:64|weapons_pressure:276|world_hosts:1537,population|refgroup,299431
2739,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/edit/research/CodeRED_Cutscene_Placement_Pass15_Build/reports/tune_refgroup_vehicle_cutscene_candidates.csv,manifest/text,armadillo|blackwater|landing|tumbleweed,factions:78|scripting:11|spawning:737|war_behavior:64|weapons_pressure:276|world_hosts:1537,population|refgroup,299046
2569,research/reference,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/related_apps__Code_RED_ScriptHookRDR_AI_Menu__data__codered__rosters__npc_roster_all_spawnable.txt.decompiled_source.txt,manifest/text,armadillo|macfarlane,factions:657|scripting:1|spawning:1838|weapons_pressure:24|world_hosts:39,,61342
2568,research/reference,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/data__codered__rosters__npc_roster_all_spawnable.txt.decompiled_source.txt,manifest/text,armadillo|macfarlane,factions:657|spawning:1838|weapons_pressure:24|world_hosts:39,,61298
