index,path,raw_size,rsc,resource_type,codec,decoded_size,decode_error,score,reasons
561,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0x8FD45603,19313,True,2,zstd,53248,,318,
562,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0x94ADCAF1,20969,False,,,,,172,u16le:1194:1
563,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0xA89F8635,20099,False,,,,,164,u16be:1194:1
564,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0xA92E8DA9,13429,False,,,,,62,
565,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0xE0253103,21682,False,,,,,91,
566,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0x04EA1D84,20710,False,,,,,88,
567,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0x159B4FA8,20684,False,,,,,317,u16be:1194:1;u16le:1193:1;u16le:1194:1
568,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0x2D010D86,20959,True,2,zstd,53248,,310,
569,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0x41020E33,20071,False,,,,,199,u16be:1194:1;u16le:1193:1
570,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0x4515BA65,19870,True,2,zstd,53248,,372,
571,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0x5E5DD9BF,19830,True,2,zstd,53248,,312,
572,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0xB57E8AD6,21881,False,,,,,224,u16le:1193:3
573,root\content\release64\dlc\0x22398628\0x93896EB6\0xCF662134\0xC28A0A1B,19318,True,2,zstd,45056,,351,
574,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0x06A7EBA6,18362,True,2,zstd,45056,,382,u16be:1193:8
575,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0x10BB4503,21101,False,,,,,128,
576,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0x145A5CFC,20253,False,,,,,179,u16le:1194:1
