index,path,name,size,resource_type,resource_type_hint,score,reasons,decoded_size,decode_error
1472,root\content\release64\0xC06BF8AB\0x4555D910\0x6F43544F,0x6F43544F,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1474,root\content\release64\0xC06BF8AB\0x4555D910\0x725AF16D,0x725AF16D,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1476,root\content\release64\0xC06BF8AB\0x4555D910\0x8FBB2794,0x8FBB2794,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1477,root\content\release64\0xC06BF8AB\0x4555D910\0xA60B0008,0xA60B0008,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1478,root\content\release64\0xC06BF8AB\0x4555D910\0xAEB90A27,0xAEB90A27,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1479,root\content\release64\0xC06BF8AB\0x4555D910\0xB8567F96,0xB8567F96,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1480,root\content\release64\0xC06BF8AB\0x4555D910\0xBE853674,0xBE853674,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1481,root\content\release64\0xC06BF8AB\0x4555D910\0xC35A5B54,0xC35A5B54,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1483,root\content\release64\0xC06BF8AB\0x4555D910\0xCDADAF94,0xCDADAF94,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1484,root\content\release64\0xC06BF8AB\0x4555D910\0xCF503E53,0xCF503E53,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1485,root\content\release64\0xC06BF8AB\0x4555D910\0xD4EBD5E9,0xD4EBD5E9,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1487,root\content\release64\0xC06BF8AB\0x4555D910\0xDBA83C75,0xDBA83C75,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1488,root\content\release64\0xC06BF8AB\0x4555D910\0xEEE70AE0,0xEEE70AE0,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1489,root\content\release64\0xC06BF8AB\0x4555D910\0xF7ECEBD1,0xF7ECEBD1,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1493,root\content\release64\0xC06BF8AB\0x850784D2\0x55A490D6,0x55A490D6,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1494,root\content\release64\0xC06BF8AB\0x850784D2\0xBBC204EB,0xBBC204EB,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1511,root\content\release64\0xC06BF8AB\0xF0C82254\0x2CF6C708,0x2CF6C708,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1624,root\content\release64\frontier\0xDCF649E3\0x8D1B3BE0\0xEF2FB78F,0xEF2FB78F,58852,2,.wsc/.csc script,600,u16be:1194:1,155648,
1629,root\content\release64\frontier\0xDCF649E3\0xBA5A965E\0x2846F1C1,0x2846F1C1,51730,2,.wsc/.csc script,600,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,131072,
1414,root\content\release64\0x96E04D47\0x893E31F1\0x40366930,0x40366930,52746,2,.wsc/.csc script,599,,159744,
1628,root\content\release64\frontier\0xDCF649E3\0xB7035137\0xE4691ECD,0xE4691ECD,59593,2,.wsc/.csc script,598,,184320,
610,root\content\release64\dlc\0x22398628\0xC5C07009\0x9FC99CE5,0x9FC99CE5,24244,2,.wsc/.csc script,596,u16be:1193:2;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1482,root\content\release64\0xC06BF8AB\0x4555D910\0xCD2AEBD7,0xCD2AEBD7,24244,2,.wsc/.csc script,596,u16be:1193:2;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1353,root\content\release64\0x93896EB6\0x8C024AAA\0xDCD979BC,0xDCD979BC,39026,2,.wsc/.csc script,591,u16be:1193:1,102400,
1284,root\content\release64\0x72440E09\0xDCF649E3\0x20B8653B\0x362340AE,0x362340AE,52860,2,.wsc/.csc script,582,u16be:1194:1,135168,
648,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xB4365063,0xB4365063,18327,2,.wsc/.csc script,578,u16be:1193:41,53248,
480,root\content\release64\dlc\0x22398628\system\0x1933EFBD,0x1933EFBD,79431,,,577,u16be:1194:3;u16le:1194:1,,
1625,root\content\release64\frontier\0xDCF649E3\0x9DFE9F32\0x6FB1D29E,0x6FB1D29E,50650,2,.wsc/.csc script,574,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,122880,
1627,root\content\release64\frontier\0xDCF649E3\0xAC453BBF\0x3CC7D322,0x3CC7D322,61397,2,.wsc/.csc script,574,,176128,
1540,root\content\release64\frontier\0x2BE0ECA6\0xD39FE932\0x8E046465,0x8E046465,27939,2,.wsc/.csc script,567,u16be:1194:2,94208,
1364,root\content\release64\0x93896EB6\0xA478703E\0x4E963DC8,0x4E963DC8,38127,2,.wsc/.csc script,562,u16be:1193:2,94208,
1634,root\content\release64\frontier\0xDCF649E3\0xFC6C761E\0x62E9D4A6,0x62E9D4A6,50855,2,.wsc/.csc script,562,u16be:1194:1,135168,
1295,root\content\release64\0x72440E09\0xDCF649E3\0xB58205E7\0x0C0EFEBF\0x84FC9CF2,0x84FC9CF2,51181,2,.wsc/.csc script,561,,143360,
588,root\content\release64\dlc\0x22398628\0xC5C07009\0x23016827,0x23016827,34980,2,.wsc/.csc script,554,u16be:1193:2;u16be:1194:7,86016,
1411,root\content\release64\0x96E04D47\0x522AA0C6\0x9C4BD058,0x9C4BD058,30796,2,.wsc/.csc script,548,u16be:1193:1;u16be:1194:2,77824,
1632,root\content\release64\frontier\0xDCF649E3\0xF2460E38\0x27ED40D5,0x27ED40D5,59424,2,.wsc/.csc script,547,,159744,
