"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\dlc\zombiepack\init\pop\grt_population_z","True","True","2305","2462","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\gtr_population_z","True","True","2321","2460","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\hen_population_z","True","True","2097","2196","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\hgn_population_z","True","True","2515","2701","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\lsh_population_z","True","True","1701","1756","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\mtp_population_z","True","True","1703","1756","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\nos_population_z","True","True","1640","1704","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\odd_population_z","True","True","1963","2038","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\pik_population_z","True","True","1666","1721","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\pln_population_z","True","True","1949","2025","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\prd_population_z","True","True","2445","2678","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\pun_population_z","True","True","2429","2664","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\rat_population_z","True","True","2031","2119","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\rio_population_z","True","True","2330","2443","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\rwf_population_z","True","True","1936","2013","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\sep_population_z","True","True","1944","2022","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\ser_population_z","True","True","1919","2000","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\sol_population_z","True","True","1695","1751","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\tal_population_z","True","True","2275","2426","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\tes_population_z","True","True","1794","1882","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\thi_population_z","True","True","2198","2301","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\tor_population_z","True","True","1660","1720","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\tum_population_z","True","True","2029","2114","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\twr_population_z","True","True","1805","1886","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init\pop\upr_population_z","True","True","1767","1825","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\init_zombiepack","True","True","30127","36352","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\diez_coronas\casa_madrugada\casamadrugada_z","True","True","29863","31998","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\diez_coronas\diezcoronas_z","True","True","16099","17416","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
