offset,offset_hex,opcode,width,value,actor_kind,operand_hex
51139,0xC7C3,37,1,30,eActorEnum_candidate,1E
51180,0xC7EC,37,1,18,eActorEnum_candidate,12
51188,0xC7F4,37,1,30,eActorEnum_candidate,1E
51229,0xC81D,37,1,18,eActorEnum_candidate,12
51237,0xC825,37,1,30,eActorEnum_candidate,1E
51278,0xC84E,37,1,18,eActorEnum_candidate,12
51286,0xC856,37,1,30,eActorEnum_candidate,1E
51327,0xC87F,37,1,18,eActorEnum_candidate,12
51335,0xC887,37,1,30,eActorEnum_candidate,1E
51363,0xC8A3,37,1,18,eActorEnum_candidate,12
51371,0xC8AB,37,1,30,eActorEnum_candidate,1E
51399,0xC8C7,37,1,18,eActorEnum_candidate,12
51407,0xC8CF,37,1,30,eActorEnum_candidate,1E
51448,0xC8F8,37,1,18,eActorEnum_candidate,12
51456,0xC900,37,1,30,eActorEnum_candidate,1E
51484,0xC91C,37,1,18,eActorEnum_candidate,12
51492,0xC924,37,1,30,eActorEnum_candidate,1E
51520,0xC940,37,1,18,eActorEnum_candidate,12
51528,0xC948,37,1,30,eActorEnum_candidate,1E
51556,0xC964,37,1,18,eActorEnum_candidate,12
51564,0xC96C,37,1,30,eActorEnum_candidate,1E
51605,0xC995,37,1,18,eActorEnum_candidate,12
51613,0xC99D,37,1,30,eActorEnum_candidate,1E
51641,0xC9B9,37,1,18,eActorEnum_candidate,12
51649,0xC9C1,37,1,30,eActorEnum_candidate,1E
51690,0xC9EA,37,1,18,eActorEnum_candidate,12
51698,0xC9F2,37,1,30,eActorEnum_candidate,1E
51752,0xCA28,37,1,18,eActorEnum_candidate,12
51760,0xCA30,37,1,30,eActorEnum_candidate,1E
51801,0xCA59,37,1,18,eActorEnum_candidate,12
51809,0xCA61,37,1,30,eActorEnum_candidate,1E
51863,0xCA97,37,1,18,eActorEnum_candidate,12
51871,0xCA9F,37,1,30,eActorEnum_candidate,1E
51939,0xCAE3,37,1,18,eActorEnum_candidate,12
51947,0xCAEB,37,1,30,eActorEnum_candidate,1E
52001,0xCB21,37,1,18,eActorEnum_candidate,12
52009,0xCB29,37,1,30,eActorEnum_candidate,1E
52037,0xCB45,37,1,18,eActorEnum_candidate,12
52045,0xCB4D,37,1,30,eActorEnum_candidate,1E
52086,0xCB76,37,1,18,eActorEnum_candidate,12
52094,0xCB7E,37,1,30,eActorEnum_candidate,1E
52122,0xCB9A,37,1,18,eActorEnum_candidate,12
52130,0xCBA2,37,1,30,eActorEnum_candidate,1E
52171,0xCBCB,37,1,18,eActorEnum_candidate,12
52179,0xCBD3,37,1,30,eActorEnum_candidate,1E
52207,0xCBEF,37,1,18,eActorEnum_candidate,12
52215,0xCBF7,37,1,30,eActorEnum_candidate,1E
52243,0xCC13,37,1,18,eActorEnum_candidate,12
52251,0xCC1B,37,1,30,eActorEnum_candidate,1E
52279,0xCC37,37,1,18,eActorEnum_candidate,12
52287,0xCC3F,37,1,30,eActorEnum_candidate,1E
52315,0xCC5B,37,1,18,eActorEnum_candidate,12
52323,0xCC63,37,1,30,eActorEnum_candidate,1E
52351,0xCC7F,37,1,18,eActorEnum_candidate,12
52359,0xCC87,37,1,30,eActorEnum_candidate,1E
52387,0xCCA3,37,1,18,eActorEnum_candidate,12
52395,0xCCAB,37,1,30,eActorEnum_candidate,1E
52423,0xCCC7,37,1,18,eActorEnum_candidate,12
52431,0xCCCF,37,1,30,eActorEnum_candidate,1E
52472,0xCCF8,37,1,18,eActorEnum_candidate,12
52480,0xCD00,37,1,30,eActorEnum_candidate,1E
52508,0xCD1C,37,1,18,eActorEnum_candidate,12
52516,0xCD24,37,1,30,eActorEnum_candidate,1E
52544,0xCD40,37,1,18,eActorEnum_candidate,12
52552,0xCD48,37,1,30,eActorEnum_candidate,1E
52580,0xCD64,37,1,18,eActorEnum_candidate,12
52588,0xCD6C,37,1,30,eActorEnum_candidate,1E
52616,0xCD88,37,1,18,eActorEnum_candidate,12
52624,0xCD90,37,1,30,eActorEnum_candidate,1E
52652,0xCDAC,37,1,18,eActorEnum_candidate,12
52660,0xCDB4,37,1,30,eActorEnum_candidate,1E
52688,0xCDD0,37,1,18,eActorEnum_candidate,12
52696,0xCDD8,37,1,30,eActorEnum_candidate,1E
52751,0xCE0F,37,1,18,eActorEnum_candidate,12
52759,0xCE17,37,1,30,eActorEnum_candidate,1E
52827,0xCE5B,37,1,18,eActorEnum_candidate,12
52835,0xCE63,37,1,30,eActorEnum_candidate,1E
52902,0xCEA6,37,1,18,eActorEnum_candidate,12
52910,0xCEAE,37,1,30,eActorEnum_candidate,1E
