offset,offset_hex,length,text,population_term,string_class
78963,0x13473,93,bo[AM_COLLECT_PLAYER_EVENTS_OF_TYPE_ON_ACTORENUM: invalid objectset passed as EventCollection,,likely logic anchor
79118,0x1350E,7,",C&,C-8",,unknown
79132,0x1351C,7,",C&,C.7",,unknown
79168,0x13540,4,",C/c",,unknown
79179,0x1354B,11,AM_NO_PURGE,,unknown
79202,0x13562,11,AM_NO_PURGE,,unknown
79236,0x13584,11,AM_NO_PURGE,,unknown
79280,0x135B0,4,",C 7",,debug/display text
79357,0x135FD,4,R2_b,,unknown
79363,0x13603,5,R2Yz-,,unknown
79379,0x13613,5,<^:9>,,unknown
79385,0x13619,4,;^OT,,unknown
79398,0x13626,4,;^OT,,unknown
79407,0x1362F,8,:9>$;^OT,,unknown
79420,0x1363C,8,:9>(;^OT,,unknown
79449,0x13659,5,":9> ,",,debug/display text
79473,0x13671,6,3:9> 7,,debug/display text
79483,0x1367B,7,",J5:9> ",,debug/display text
79494,0x13686,4,:9> ,,debug/display text
79542,0x136B6,4,_des,,unknown
79642,0x1371A,4,OSyC,,unknown
79651,0x13723,4,OSyD,,unknown
79671,0x13737,4,SEN8,,unknown
79702,0x13756,5,SC]+7,,debug/display text
79732,0x13774,4,Rj\b,,unknown
79749,0x13785,6,"RDU,D6",,unknown
79761,0x13791,4,OSy>,,unknown
79816,0x137C8,4,OSy?,,debug/display text
79822,0x137CE,4,OSy>,,unknown
79831,0x137D7,8,S;*+OSy>,,unknown
79840,0x137E0,4,OSy>,,unknown
79860,0x137F4,4,OSy?,,debug/display text
79866,0x137FA,4,OSy>,,unknown
79875,0x13803,8,S;*+OSy>,,unknown
79884,0x1380C,4,OSy>,,unknown
79904,0x13820,4,OSy?,,debug/display text
79910,0x13826,4,OSy>,,unknown
79919,0x1382F,8,S;*+OSy>,,unknown
79928,0x13838,4,OSy>,,unknown
79948,0x1384C,4,OSy?,,debug/display text
79954,0x13852,4,OSy>,,unknown
79963,0x1385B,8,S;*+OSy>,,unknown
79972,0x13864,4,OSy>,,unknown
79992,0x13878,4,OSy?,,debug/display text
79998,0x1387E,4,OSy>,,unknown
80007,0x13887,8,S;*+OSy>,,unknown
80016,0x13890,4,OSy>,,unknown
80024,0x13898,4,OSy>,,unknown
80031,0x1389F,4,OSy>,,unknown
80121,0x138F9,4,",D7O",,unknown
80133,0x13905,5,",D8%$",,debug/display text
80139,0x1390B,5,",D9%%",,debug/display text
80145,0x13911,5,",D9%.",,debug/display text
80151,0x13917,4,",D9%",,debug/display text
80157,0x1391D,5,",D9%7",,debug/display text
80163,0x13923,4,",D9%",,debug/display text
80169,0x13929,4,",D9%",,debug/display text
80175,0x1392F,4,",D9b",,unknown
80190,0x1393E,4,",D7O",,unknown
80202,0x1394A,5,",D8%$",,debug/display text
80208,0x13950,5,",D9%%",,debug/display text
80214,0x13956,5,",D9%.",,debug/display text
80220,0x1395C,4,",D9%",,debug/display text
80226,0x13962,5,",D9%7",,debug/display text
80232,0x13968,4,",D9%",,debug/display text
80238,0x1396E,4,",D9%",,debug/display text
80244,0x13974,4,",D9b",,unknown
80259,0x13983,4,",D7O",,unknown
80271,0x1398F,5,",D8%$",,debug/display text
80277,0x13995,5,",D9%%",,debug/display text
80283,0x1399B,5,",D9%.",,debug/display text
80289,0x139A1,4,",D9%",,debug/display text
80295,0x139A7,5,",D9%7",,debug/display text
80301,0x139AD,4,",D9%",,debug/display text
80307,0x139B3,4,",D9%",,debug/display text
80313,0x139B9,4,",D9b",,unknown
80328,0x139C8,4,",D7O",,unknown
80340,0x139D4,5,",D8%$",,debug/display text
80346,0x139DA,5,",D9%%",,debug/display text
80352,0x139E0,5,",D9%.",,debug/display text
80358,0x139E6,4,",D9%",,debug/display text
80364,0x139EC,5,",D9%7",,debug/display text
80370,0x139F2,4,",D9%",,debug/display text
80376,0x139F8,4,",D9%",,debug/display text
80382,0x139FE,4,",D9b",,unknown
80397,0x13A0D,4,",D7O",,unknown
80409,0x13A19,5,",D8%$",,debug/display text
80415,0x13A1F,5,",D9%%",,debug/display text
80421,0x13A25,5,",D9%.",,debug/display text
80427,0x13A2B,4,",D9%",,debug/display text
80433,0x13A31,5,",D9%7",,debug/display text
80439,0x13A37,4,",D9%",,debug/display text
80445,0x13A3D,4,",D9%",,debug/display text
80451,0x13A43,4,",D9b",,unknown
80512,0x13A80,5,",D9%A",,debug/display text
80518,0x13A86,5,",D9%B",,debug/display text
80524,0x13A8C,5,",D9%C",,debug/display text
80530,0x13A92,5,",D9%1",,debug/display text
80536,0x13A98,4,",D9A",,unknown
80543,0x13A9F,4,",D9A",,unknown
80550,0x13AA6,4,",D9A",,unknown
80557,0x13AAD,4,",D98",,unknown
