string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
56136,0xDB48,blk_generalStore_int_Props02x,unknown,56134,0xDB46,226,Function_226,0xBCEF..0xF16F
56171,0xDB6B,blk_generalStore_int_01x,unknown,56169,0xDB69,226,Function_226,0xBCEF..0xF16F
56201,0xDB89,blk_tailor01_int_Props01x,unknown,56199,0xDB87,226,Function_226,0xBCEF..0xF16F
56232,0xDBA8,blk_tailor_int_01x,unknown,56230,0xDBA6,226,Function_226,0xBCEF..0xF16F
56256,0xDBC0,blk_trainstation_int_Props01x,unknown,56254,0xDBBE,226,Function_226,0xBCEF..0xF16F
56291,0xDBE3,blk_trainstation_int_01x,unknown,56289,0xDBE1,226,Function_226,0xBCEF..0xF16F
56321,0xDC01,blk_gunshop_int_Props01x,unknown,56319,0xDBFF,226,Function_226,0xBCEF..0xF16F
56351,0xDC1F,blk_gunshop_int_01x,unknown,56349,0xDC1D,226,Function_226,0xBCEF..0xF16F
56376,0xDC38,blk_theatre_int_shade_01x,unknown,56374,0xDC36,226,Function_226,0xBCEF..0xF16F
56407,0xDC57,blk_generalStore_int_shade_01x,unknown,56405,0xDC55,226,Function_226,0xBCEF..0xF16F
56443,0xDC7B,blk_tailor_int_shade_01x,unknown,56441,0xDC79,226,Function_226,0xBCEF..0xF16F
56473,0xDC99,blk_doctorsOffice_int_shade_01x,unknown,56471,0xDC97,226,Function_226,0xBCEF..0xF16F
56510,0xDCBE,blk_forgeMill_int_shade_01x,unknown,56508,0xDCBC,226,Function_226,0xBCEF..0xF16F
56543,0xDCDF,blk_sawMill_int_shade_01x,unknown,56541,0xDCDD,226,Function_226,0xBCEF..0xF16F
56574,0xDCFE,blk_freightstation_int_shade_01x,unknown,56572,0xDCFC,226,Function_226,0xBCEF..0xF16F
56612,0xDD24,blk_blacksmith_int_shade_01x,unknown,56610,0xDD22,226,Function_226,0xBCEF..0xF16F
56646,0xDD46,blk_cityHall_int_shade_01x,unknown,56644,0xDD44,226,Function_226,0xBCEF..0xF16F
56678,0xDD66,blk_bank_int_shade_01x,unknown,56676,0xDD64,226,Function_226,0xBCEF..0xF16F
56706,0xDD82,mor_morningStar_int_shade_01x,unknown,56704,0xDD80,226,Function_226,0xBCEF..0xF16F
56741,0xDDA5,blk_gunshop_int_shade_01x,unknown,56739,0xDDA3,226,Function_226,0xBCEF..0xF16F
56772,0xDDC4,blk_saloon_int_Props01x,unknown,56770,0xDDC2,226,Function_226,0xBCEF..0xF16F
56801,0xDDE1,blk_saloon_int_01x,unknown,56799,0xDDDF,226,Function_226,0xBCEF..0xF16F
56825,0xDDF9,blk_hotel01_int_Props01x,unknown,56823,0xDDF7,226,Function_226,0xBCEF..0xF16F
56855,0xDE17,blk_hotel_int_01x,unknown,56853,0xDE15,226,Function_226,0xBCEF..0xF16F
56878,0xDE2E,blk_hotel_int_shade_01x,unknown,56876,0xDE2C,226,Function_226,0xBCEF..0xF16F
56907,0xDE4B,blk_trainstation_int_Props01x,unknown,56905,0xDE49,226,Function_226,0xBCEF..0xF16F
56942,0xDE6E,blk_trainstation_int_01x,unknown,56940,0xDE6C,226,Function_226,0xBCEF..0xF16F
56972,0xDE8C,mor_morningStar01_int_Props01x,unknown,56970,0xDE8A,226,Function_226,0xBCEF..0xF16F
57008,0xDEB0,mor_morningStar_int_01x,unknown,57006,0xDEAE,226,Function_226,0xBCEF..0xF16F
57037,0xDECD,mor_morningStar_int_shade_01x,unknown,57035,0xDECB,226,Function_226,0xBCEF..0xF16F
57075,0xDEF3,rwf_barn01xprops01x,unknown,57073,0xDEF1,226,Function_226,0xBCEF..0xF16F
57100,0xDF0C,rwf_barn01xprops02x,unknown,57098,0xDF0A,226,Function_226,0xBCEF..0xF16F
57125,0xDF25,rwf_livingRoom01props01x,unknown,57123,0xDF23,226,Function_226,0xBCEF..0xF16F
57155,0xDF43,rwf_livingRoom01props02x,unknown,57153,0xDF41,226,Function_226,0xBCEF..0xF16F
57188,0xDF64,beh_silo01x,unknown,57186,0xDF62,226,Function_226,0xBCEF..0xF16F
57205,0xDF75,beh_silo02x,unknown,57203,0xDF73,226,Function_226,0xBCEF..0xF16F
57231,0xDF8F,beh_house02x,unknown,57229,0xDF8D,226,Function_226,0xBCEF..0xF16F
57249,0xDFA1,beh_house02props01x,unknown,57247,0xDF9F,226,Function_226,0xBCEF..0xF16F
57274,0xDFBA,beh_house01x,unknown,57272,0xDFB8,226,Function_226,0xBCEF..0xF16F
57292,0xDFCC,beh_house01props01x,unknown,57290,0xDFCA,226,Function_226,0xBCEF..0xF16F
57320,0xDFE8,beh_house02x,unknown,57318,0xDFE6,226,Function_226,0xBCEF..0xF16F
57338,0xDFFA,beh_house02props01x,unknown,57336,0xDFF8,226,Function_226,0xBCEF..0xF16F
57363,0xE013,beh_house01x,unknown,57361,0xE011,226,Function_226,0xBCEF..0xF16F
57381,0xE025,beh_house01props01x,unknown,57379,0xE023,226,Function_226,0xBCEF..0xF16F
57409,0xE041,tor_militaryCamp01x,unknown,57407,0xE03F,226,Function_226,0xBCEF..0xF16F
57434,0xE05A,tor_militaryCamp02x,unknown,57432,0xE058,226,Function_226,0xBCEF..0xF16F
57459,0xE073,sp_mexArmy03x,unknown,57457,0xE071,226,Function_226,0xBCEF..0xF16F
57481,0xE089,esc_villaWall05x,likely logic anchor,57479,0xE087,226,Function_226,0xBCEF..0xF16F
57503,0xE09F,esc_villaWall04x,likely logic anchor,57501,0xE09D,226,Function_226,0xBCEF..0xF16F
57525,0xE0B5,sp_rebel05x,unknown,57523,0xE0B3,226,Function_226,0xBCEF..0xF16F
57545,0xE0C9,icarus,unknown,57543,0xE0C7,226,Function_226,0xBCEF..0xF16F
57560,0xE0D8,chu_gatlingBreakables01x,unknown,57558,0xE0D6,226,Function_226,0xBCEF..0xF16F
57590,0xE0F6,lsh_gatlingBreakables01x,unknown,57588,0xE0F4,226,Function_226,0xBCEF..0xF16F
57623,0xE117,sp_anthro01x,unknown,57621,0xE115,226,Function_226,0xBCEF..0xF16F
57644,0xE12C,beh_grave01x,unknown,57642,0xE12A,226,Function_226,0xBCEF..0xF16F
57662,0xE13E,beh_grave02x,unknown,57660,0xE13C,226,Function_226,0xBCEF..0xF16F
57680,0xE150,beh_grave03x,unknown,57678,0xE14E,226,Function_226,0xBCEF..0xF16F
57701,0xE165,rsdGPSTRAIL_elm_cas_path,unknown,57699,0xE163,226,Function_226,0xBCEF..0xF16F
57736,0xE188,rsdGPSTRAIL_curve495,unknown,57734,0xE186,226,Function_226,0xBCEF..0xF16F
57767,0xE1A7,rsdGPSTRAIL_elm_cas_pathdetachedCurve12,unknown,57765,0xE1A5,226,Function_226,0xBCEF..0xF16F
57817,0xE1D9,rsdGPSTRAIL_elm_cas_pathdetachedCurve13,unknown,57815,0xE1D7,226,Function_226,0xBCEF..0xF16F
57867,0xE20B,rsdGPSTRAIL_elm_cas_loop1,unknown,57865,0xE209,226,Function_226,0xBCEF..0xF16F
57903,0xE22F,rsdTRAIL_cas_ram_pathdetachedCurve10,unknown,57901,0xE22D,226,Function_226,0xBCEF..0xF16F
57950,0xE25E,rsdTRAIL_cas_ram_pathdetachedCurve8,unknown,57948,0xE25C,226,Function_226,0xBCEF..0xF16F
57996,0xE28C,rsdTRAIL_cas_ram_pathdetachedCurve6,unknown,57994,0xE28A,226,Function_226,0xBCEF..0xF16F
58042,0xE2BA,rsdTRAIL_las_nos_pathdetachedCurve2,unknown,58040,0xE2B8,226,Function_226,0xBCEF..0xF16F
58088,0xE2E8,rsdROAD_las_esc_roaddetachedCurve10detachedCurve1,unknown,58086,0xE2E6,226,Function_226,0xBCEF..0xF16F
58148,0xE324,rsdTRAIL_curve44,unknown,58146,0xE322,226,Function_226,0xBCEF..0xF16F
58175,0xE33F,rsdROAD_las_esc_roaddetachedCurve18,unknown,58173,0xE33D,226,Function_226,0xBCEF..0xF16F
