offset,offset_hex,length,text,population_term,string_class
27716,0x6C44,5,RlH~-,,unknown
27893,0x6CF5,4,:VRm,,unknown
27898,0x6CFA,7,:VRdN{-,,unknown
27911,0x6D07,61,o<$/content/scripting/gringo/SimpleGringo/Giveaway_Footlocker,,unknown
27975,0x6D47,5,Roj+8,,unknown
27981,0x6D4D,62,o=$/content/scripting/gringo/CommonScripts/Giveaway_Footlocker,,unknown
28046,0x6D8E,5,Roj+8,,unknown
28052,0x6D94,53,o4$/content/scripting/gringo/SimpleGringo/MP_RezBuddy,,unknown
28108,0x6DCC,5,Roj+8,,unknown
28114,0x6DD2,38,o%$/content/multiplayer/PR_Disabled000,,likely logic anchor
28155,0x6DFB,5,Roj+8,,unknown
28161,0x6E01,49,o0$/content/multiplayer/spectator/mp_spectatorMk2,,unknown
28213,0x6E35,5,Roj+8,,unknown
28219,0x6E3B,49,o0$/content/multiplayer/disabled_system_threadxxx,,likely logic anchor
28271,0x6E6F,5,Roj+8,,unknown
28277,0x6E75,44,o+$/content/multiplayer/tutorial/mp_tutorial,,unknown
28324,0x6EA4,5,Roj+8,,unknown
28335,0x6EAF,5,Roj+8,,unknown
28346,0x6EBA,5,Roj+8,,unknown
28357,0x6EC5,5,Roj+8,,unknown
28365,0x6ECD,11,multiplayer,,unknown
28380,0x6EDC,5,Roj+8,,unknown
28388,0x6EE4,9,XP_Titles,,unknown
28401,0x6EF1,6,Roj+~-,,unknown
28411,0x6EFB,33,o p_gen_crateMultiplayerWeapon01x,,debug/display text
28453,0x6F25,29,p_gen_crateMultiplayerItem01x,,unknown
28491,0x6F4B,29,p_gen_crateMultiplayerAmmo01x,,unknown
28527,0x6F6F,6,% Oxz5,,debug/display text
28570,0x6F9A,4,Rh48,,unknown
28635,0x6FDB,4,Rh48,,unknown
28680,0x7008,88,oWNot enough room in the streaming array to fit a template! Raise the array size to fix!,,debug/display text
28811,0x708B,4,% Rp,,debug/display text
28819,0x7093,4,%@Rp,,debug/display text
28904,0x70E8,8,Rw|Ru}Rt,,unknown
28925,0x70FD,4,Rtxj,,unknown
28932,0x7104,5,RqxRq,,unknown
28966,0x7126,4,R:Dc,,unknown
28974,0x712E,4,Rq;8,,unknown
28994,0x7142,9,*=L%$1++8,,debug/display text
29018,0x715A,4,R:Dc,,unknown
29092,0x71A4,4,Rs.8,,unknown
29102,0x71AE,4,Rs.8,,unknown
29112,0x71B8,4,Rs.8,,unknown
29122,0x71C2,4,Rs.8,,unknown
29132,0x71CC,4,Rs.8,,unknown
29504,0x7340,4,RsF.,,unknown
29527,0x7357,4,Rs].,,debug/display text
29665,0x73E1,4,Rs].,,debug/display text
29690,0x73FA,4,Rt=8,,unknown
29697,0x7401,4,Rt=8,,unknown
29730,0x7422,4,Rt/8,,unknown
29778,0x7452,4,Rtj8,,unknown
29855,0x749F,4,%@R;,,debug/display text
29877,0x74B5,5,RcqRb,,unknown
29893,0x74C5,4,",V~-",,unknown
29917,0x74DD,5,Ru4Rt,,unknown
29929,0x74E9,5,RucRt,,unknown
30046,0x755E,6,",Fr@~-",,unknown
30082,0x7582,4,Rwb9,,unknown
30216,0x7608,4,RvP8,,unknown
30283,0x764B,6,",6r@~-",,unknown
30349,0x768D,4,",WRv",,unknown
30425,0x76D9,6,% R8'c,,debug/display text
30454,0x76F6,6,%@R8'c,,debug/display text
30486,0x7716,4,R8'c,,unknown
30617,0x7799,4,RO#9,,unknown
30752,0x7820,4,RO#9,,unknown
30938,0x78DA,4,RRT9,,unknown
30990,0x790E,4,R;;8,,unknown
31025,0x7931,4,R|5b,,unknown
