index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
777,file,root/content/release64/init/pop/tor_population.wsc,tor_population.wsc,.wsc,8943616,2330,12288,True,False,2
778,file,root/content/release64/init/pop/emt_population.wsc,emt_population.wsc,.wsc,8851456,2385,12288,True,False,2
779,file,root/content/release64/init/pop/hen_population.wsc,hen_population.wsc,.wsc,8880128,2893,20480,True,False,2
780,file,root/content/release64/init/pop/cho_population.wsc,cho_population.wsc,.wsc,8830976,3381,20480,True,False,2
781,file,root/content/release64/init/pop/cas_population.wsc,cas_population.wsc,.wsc,8826880,2702,12288,True,False,2
782,file,root/content/release64/init/pop/fod_population.wsc,fod_population.wsc,.wsc,8859648,2128,12288,True,False,2
783,file,root/content/release64/init/pop/beh_population.wsc,beh_population.wsc,.wsc,8818688,2343,12288,True,False,2
784,file,root/content/release64/init/pop/dzc_population.wsc,dzc_population.wsc,.wsc,8847360,2666,12288,True,False,2
785,file,root/content/release64/init/pop/tes_population.wsc,tes_population.wsc,.wsc,8937472,1887,12288,True,False,2
786,file,root/content/release64/init/pop/gtr_population.wsc,gtr_population.wsc,.wsc,8876032,2723,12288,True,False,2
