offset,offset_hex,opcode,width,value,actor_kind,operand_hex
89621,0x15E15,37,1,20,eActorEnum_candidate,14
89628,0x15E1C,38,2,2063,,08 0F
89636,0x15E24,38,2,2319,,09 0F
89644,0x15E2C,38,2,2570,,0A 0A
89652,0x15E34,37,1,11,eActorEnum_candidate,0B
90074,0x15FDA,37,1,27,eActorEnum_candidate,1B
90174,0x1603E,37,1,17,eActorEnum_candidate,11
90220,0x1606C,37,1,27,eActorEnum_candidate,1B
90276,0x160A4,37,1,82,eActorEnum_candidate,52
90791,0x162A7,37,1,8,eActorEnum_candidate,08
90798,0x162AE,65,2,487,gang_actor,01 E7
92494,0x1694E,37,1,64,eActorEnum_candidate,40
92666,0x169FA,37,1,11,eActorEnum_candidate,0B
92688,0x16A10,40,4,33554432,,02 00 00 00
92784,0x16A70,65,2,4096,,10 00
92884,0x16AD4,37,1,8,eActorEnum_candidate,08
92889,0x16AD9,65,2,256,eActorEnum_candidate,01 00
93008,0x16B50,40,4,1092616192,,41 20 00 00
93061,0x16B85,37,1,8,eActorEnum_candidate,08
93252,0x16C44,40,4,16777216,,01 00 00 00
93368,0x16CB8,65,2,1024,eActorEnum_candidate,04 00
93374,0x16CBE,65,2,8192,,20 00
93464,0x16D18,37,1,8,eActorEnum_candidate,08
93469,0x16D1D,37,1,100,eActorEnum_candidate,64
93478,0x16D26,37,1,100,eActorEnum_candidate,64
93624,0x16DB8,40,4,2147483648,,80 00 00 00
93670,0x16DE6,37,1,31,eActorEnum_candidate,1F
93869,0x16EAD,65,2,65534,,FF FE
93882,0x16EBA,40,4,16777216,,01 00 00 00
94018,0x16F42,65,2,65534,,FF FE
94179,0x16FE3,37,1,8,eActorEnum_candidate,08
94185,0x16FE9,37,1,9,eActorEnum_candidate,09
94210,0x17002,37,1,16,eActorEnum_candidate,10
94300,0x1705C,40,4,1092616192,,41 20 00 00
94353,0x17091,40,4,1092616192,,41 20 00 00
94486,0x17116,37,1,146,eActorEnum_candidate,92
94734,0x1720E,65,2,2048,,08 00
94930,0x172D2,65,2,1024,eActorEnum_candidate,04 00
96277,0x17815,37,1,16,eActorEnum_candidate,10
97028,0x17B04,37,1,59,eActorEnum_candidate,3B
97281,0x17C01,37,1,20,eActorEnum_candidate,14
97296,0x17C10,37,1,10,eActorEnum_candidate,0A
97354,0x17C4A,37,1,31,eActorEnum_candidate,1F
97373,0x17C5D,37,1,32,eActorEnum_candidate,20
97428,0x17C94,37,1,16,eActorEnum_candidate,10
97584,0x17D30,37,1,16,eActorEnum_candidate,10
98232,0x17FB8,37,1,8,eActorEnum_candidate,08
