archive,archive_path,entry_path,name,extension,layer,size,offset,is_resource,resource_type,base_name,name_hash
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16c01c80_bnd.wtb,16c01c80_bnd.wtb,.wtb,terrain_bounds_wtb,47585,184102912,True,36,16c01c80_bnd,0x022201C2
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0a802300_bnd.wtb,0a802300_bnd.wtb,.wtb,terrain_bounds_wtb,78035,60733440,True,36,0a802300_bnd,0xE9A05E06
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18402140_bnd.wtb,18402140_bnd.wtb,.wtb,terrain_bounds_wtb,48293,197173248,True,36,18402140_bnd,0x1BEF4516
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04402800_bnd.wtb,04402800_bnd.wtb,.wtb,terrain_bounds_wtb,13478,872448,True,36,04402800_bnd,0xE9049A99
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/044029c0_bnd.wtb,044029c0_bnd.wtb,.wtb,terrain_bounds_wtb,5115,964608,True,36,044029c0_bnd,0xB9A2F45B
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15402440_bnd.wtb,15402440_bnd.wtb,.wtb,terrain_bounds_wtb,53164,167198720,True,36,15402440_bnd,0xCE4C2213
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/06802980_bnd.wtb,06802980_bnd.wtb,.wtb,terrain_bounds_wtb,57886,20039680,True,36,06802980_bnd,0x1228CD5D
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15402400_bnd.wtb,15402400_bnd.wtb,.wtb,terrain_bounds_wtb,18936,167178240,True,36,15402400_bnd,0xEA1F36BA
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18801a40_bnd.wtb,18801a40_bnd.wtb,.wtb,terrain_bounds_wtb,80923,198356992,True,36,18801a40_bnd,0x561FD183
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/17c02900_bnd.wtb,17c02900_bnd.wtb,.wtb,terrain_bounds_wtb,6112,193841152,True,36,17c02900_bnd,0x0B23F52A
