variant,archive_path,layer,entry_index,is_resource,resource_type,expected_size,actual_size,expected_sha1,actual_sha1,status,note
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/tumbleweed/tumbleweedmp.wsc,converted_xenon_pc_wsc,1924,True,2,28774,28774,B23ED21DA2E26C5F041DAA68EB1E84E7F1E3BEDA,B23ED21DA2E26C5F041DAA68EB1E84E7F1E3BEDA,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/twin_rocks/twinrocksmp.wsc,converted_xenon_pc_wsc,1927,True,2,27632,27632,6F1DDF6B58A2BFA67DC1AB4A9087EBE005606699,6F1DDF6B58A2BFA67DC1AB4A9087EBE005606699,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/wilderness/bearwildernessaa.wsc,converted_xenon_pc_wsc,1936,True,2,12674,12674,202479B2C57D622187BF9E6A5E41133041405AD8,202479B2C57D622187BF9E6A5E41133041405AD8,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/wilderness/boarwildernessaa.wsc,converted_xenon_pc_wsc,1937,True,2,12602,12602,64C38A82ED40C194E3674904E258A7D10F960BC5,64C38A82ED40C194E3674904E258A7D10F960BC5,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/wilderness/cougarwildernessaa.wsc,converted_xenon_pc_wsc,1938,True,2,12613,12613,7D1326AE7ACF4C94778860E7759F77AFAEBFC839,7D1326AE7ACF4C94778860E7759F77AFAEBFC839,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/wilderness/wolfwildernessaa.wsc,converted_xenon_pc_wsc,1939,True,2,12601,12601,4009FD4875E698AB0BD1C167BDA2244630B1832D,4009FD4875E698AB0BD1C167BDA2244630B1832D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/ctf/ctf_base_game.wsc,converted_xenon_pc_wsc,1942,True,2,45649,45649,71CDC54C375F47C1C79006C35E25ACC709CB463D,71CDC54C375F47C1C79006C35E25ACC709CB463D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/deathmatch/deathmatch.wsc,converted_xenon_pc_wsc,1947,True,2,34747,34747,05C05FF5E154953E92C9C529AF324EEF11BEE27A,05C05FF5E154953E92C9C529AF324EEF11BEE27A,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/deathmatch/testmatch.wsc,converted_xenon_pc_wsc,1948,True,2,7612,7612,BBACFCC745E80281D0F75E3807A451FFF4357D8F,BBACFCC745E80281D0F75E3807A451FFF4357D8F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/freemode/freemode.wsc,converted_xenon_pc_wsc,1951,True,2,47921,47921,D5BC42FA3394A2CCBEAB5033AB71591B04CBD71E,D5BC42FA3394A2CCBEAB5033AB71591B04CBD71E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/mp_help_barker.wsc,converted_xenon_pc_wsc,1885,True,2,482,482,B85F9DD8DED2796D2114F1EFF14EB568C725B2A3,B85F9DD8DED2796D2114F1EFF14EB568C725B2A3,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/mp_idle.wsc,converted_xenon_pc_wsc,1886,True,2,41676,41676,24A3910648EE433FB939C237E73BA017B0F1C88E,24A3910648EE433FB939C237E73BA017B0F1C88E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
