string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
82098,0x140B2,OnLoad_ForceSpawnPlayerHorse,likely logic anchor,82096,0x140B0,294,Function_294,0x1407F..0x140DE
84920,0x14BB8,Here's what we're returning as a save spot: ,debug/display text,84918,0x14BB6,300,Function_300,0x143CB..0x14BF7
85293,0x14D2D,Old TOD after LAST MISSION - ,likely logic anchor,85291,0x14D2B,309,Function_309,0x14D26..0x14DC8
85349,0x14D65,Current Time - ,debug/display text,85347,0x14D63,309,Function_309,0x14D26..0x14DC8
85396,0x14D94,New TOD after LAST MISSION - ,likely logic anchor,85394,0x14D92,309,Function_309,0x14D26..0x14DC8
85550,0x14E2E,STAT_GET_VALUE_AS_INT: STAT_INVALID,debug/display text,85548,0x14E2C,313,Function_313,0x14E21..0x14E62
85617,0x14E71,ZOMBIE_STORY_1_OBJ,unknown,85615,0x14E6F,314,Function_314,0x14E62..0x15783
85649,0x14E91,ZOMBIE_STORY_1_SHORT,unknown,85647,0x14E8F,314,Function_314,0x14E62..0x15783
85688,0x14EB8,ZOMBIE_STORY_1a_SHORT,unknown,85686,0x14EB6,314,Function_314,0x14E62..0x15783
85725,0x14EDD,ZOMBIE_STORY_1_OBJ,unknown,85723,0x14EDB,314,Function_314,0x14E62..0x15783
85751,0x14EF7,ZOMBIE_STORY_2Nigel_OBJ,unknown,85749,0x14EF5,314,Function_314,0x14E62..0x15783
85780,0x14F14,ZOMBIE_STORY_2Seth_OBJ,unknown,85778,0x14F12,314,Function_314,0x14E62..0x15783
85823,0x14F3F,ZOMBIE_STORY_2_SHORT,unknown,85821,0x14F3D,314,Function_314,0x14E62..0x15783
85859,0x14F63,ZOMBIE_STORY_2Seth_OBJ,unknown,85857,0x14F61,314,Function_314,0x14E62..0x15783
85898,0x14F8A,ZOMBIE_STORY_2Nigel_SHORT,unknown,85896,0x14F88,314,Function_314,0x14E62..0x15783
85940,0x14FB4,ZOMBIE_STORY_2Nigel_OBJ,unknown,85938,0x14FB2,314,Function_314,0x14E62..0x15783
85979,0x14FDB,ZOMBIE_STORY_2Seth_SHORT,unknown,85977,0x14FD9,314,Function_314,0x14E62..0x15783
86065,0x15031,ZOMBIE_STORY_3_OBJ,unknown,86063,0x1502F,314,Function_314,0x14E62..0x15783
86098,0x15052,ZOMBIE_STORY_3_SHORT,unknown,86096,0x15050,314,Function_314,0x14E62..0x15783
86135,0x15077,ZOMBIE_STORY_3_OBJ,unknown,86133,0x15075,314,Function_314,0x14E62..0x15783
86161,0x15091,ZOMBIE_STORY_4_OBJ,unknown,86159,0x1508F,314,Function_314,0x14E62..0x15783
86194,0x150B2,ZOMBIE_STORY_4_SHORT,unknown,86192,0x150B0,314,Function_314,0x14E62..0x15783
86256,0x150F0,ZOMBIE_STORY_4_OBJ,unknown,86254,0x150EE,314,Function_314,0x14E62..0x15783
86282,0x1510A,ZOMBIE_STORY_5_OBJ,unknown,86280,0x15108,314,Function_314,0x14E62..0x15783
86315,0x1512B,ZOMBIE_STORY_5_SHORT,unknown,86313,0x15129,314,Function_314,0x14E62..0x15783
86352,0x15150,ZOMBIE_STORY_5_OBJ,unknown,86350,0x1514E,314,Function_314,0x14E62..0x15783
86432,0x151A0,Loading Active Quests Journal entry created,debug/display text,86430,0x1519E,314,Function_314,0x14E62..0x15783
86484,0x151D4,Current quest is : ,debug/display text,86482,0x151D2,314,Function_314,0x14E62..0x15783
86533,0x15205,blackwater1_OBJ,unknown,86531,0x15203,314,Function_314,0x14E62..0x15783
86575,0x1522F,blackwater1_OBJ,unknown,86573,0x1522D,314,Function_314,0x14E62..0x15783
86605,0x1524D,Loading Active Quests Journal entry created,debug/display text,86603,0x1524B,314,Function_314,0x14E62..0x15783
86657,0x15281,Current quest is : ,debug/display text,86655,0x1527F,314,Function_314,0x14E62..0x15783
86697,0x152A9,Blackwater graveyard deed is ,debug/display text,86695,0x152A7,314,Function_314,0x14E62..0x15783
86755,0x152E3,blackwater3_OBJ,unknown,86753,0x152E1,314,Function_314,0x14E62..0x15783
86800,0x15310,blackwater3_OBJ,unknown,86798,0x1530E,314,Function_314,0x14E62..0x15783
86842,0x1533A,GY_RETURN_BLK,unknown,86840,0x15338,314,Function_314,0x14E62..0x15783
86885,0x15365,GY_RETURN_BLK,unknown,86883,0x15363,314,Function_314,0x14E62..0x15783
86925,0x1538D,ZOMBIE_STORY_1Survivor_OBJ,unknown,86923,0x1538B,314,Function_314,0x14E62..0x15783
86978,0x153C2,ZOMBIE_STORY_1Survivor_OBJ,unknown,86976,0x153C0,314,Function_314,0x14E62..0x15783
87024,0x153F0,ZOMBIE_STORY_1Survivor_OBJ,unknown,87022,0x153EE,314,Function_314,0x14E62..0x15783
87074,0x15422,blackwater2_OBJ,unknown,87072,0x15420,314,Function_314,0x14E62..0x15783
87148,0x1546C,seth1_OBJ,unknown,87146,0x1546A,314,Function_314,0x14E62..0x15783
87209,0x154A9,seth1_OBJ,unknown,87207,0x154A7,314,Function_314,0x14E62..0x15783
87235,0x154C3,Seth1_OBJ_ReturnToSeth,unknown,87233,0x154C1,314,Function_314,0x14E62..0x15783
87296,0x15500,dyn_sage,unknown,87294,0x154FE,314,Function_314,0x14E62..0x15783
87311,0x1550F,dyn_snowdrop,unknown,87309,0x1550D,314,Function_314,0x14E62..0x15783
87345,0x15531, ,debug/display text,87343,0x1552F,314,Function_314,0x14E62..0x15783
87368,0x15548, ,debug/display text,87366,0x15546,314,Function_314,0x14E62..0x15783
