offset,offset_hex,opcode,width,value,actor_kind,operand_hex,candidate_source
26206,0x665E,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26207,0x665F,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26208,0x6660,,2,4,eActorEnum_candidate,00 04,raw_u16be_window
26209,0x6661,,2,1024,eActorEnum_candidate,04 00,raw_u16be_window
26210,0x6662,,2,79,eActorEnum_candidate,00 4F,raw_u16be_window
26212,0x6664,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26213,0x6665,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26214,0x6666,,2,3,eActorEnum_candidate,00 03,raw_u16be_window
26215,0x6667,,2,768,eActorEnum_candidate,03 00,raw_u16be_window
26216,0x6668,,2,73,eActorEnum_candidate,00 49,raw_u16be_window
26218,0x666A,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26219,0x666B,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26220,0x666C,,2,22,eActorEnum_candidate,00 16,raw_u16be_window
26222,0x666E,,2,67,eActorEnum_candidate,00 43,raw_u16be_window
26224,0x6670,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26225,0x6671,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26226,0x6672,,2,6,eActorEnum_candidate,00 06,raw_u16be_window
26228,0x6674,,2,61,eActorEnum_candidate,00 3D,raw_u16be_window
26230,0x6676,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26231,0x6677,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26232,0x6678,,2,5,eActorEnum_candidate,00 05,raw_u16be_window
26233,0x6679,,2,1280,eActorEnum_candidate,05 00,raw_u16be_window
26234,0x667A,,2,55,eActorEnum_candidate,00 37,raw_u16be_window
26236,0x667C,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26237,0x667D,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26238,0x667E,,2,11,eActorEnum_candidate,00 0B,raw_u16be_window
26240,0x6680,,2,49,eActorEnum_candidate,00 31,raw_u16be_window
26242,0x6682,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26243,0x6683,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26244,0x6684,,2,17,eActorEnum_candidate,00 11,raw_u16be_window
26246,0x6686,,2,43,eActorEnum_candidate,00 2B,raw_u16be_window
26248,0x6688,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26249,0x6689,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26250,0x668A,,2,15,eActorEnum_candidate,00 0F,raw_u16be_window
26252,0x668C,,2,37,eActorEnum_candidate,00 25,raw_u16be_window
26254,0x668E,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26255,0x668F,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26256,0x6690,,2,12,eActorEnum_candidate,00 0C,raw_u16be_window
26258,0x6692,,2,31,eActorEnum_candidate,00 1F,raw_u16be_window
26260,0x6694,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26261,0x6695,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26262,0x6696,,2,56,eActorEnum_candidate,00 38,raw_u16be_window
26264,0x6698,,2,25,eActorEnum_candidate,00 19,raw_u16be_window
26266,0x669A,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26267,0x669B,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26268,0x669C,,2,51,eActorEnum_candidate,00 33,raw_u16be_window
26270,0x669E,,2,19,eActorEnum_candidate,00 13,raw_u16be_window
26272,0x66A0,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26273,0x66A1,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26274,0x66A2,,2,1,eActorEnum_candidate,00 01,raw_u16be_window
26275,0x66A3,,2,256,eActorEnum_candidate,01 00,raw_u16be_window
26276,0x66A4,,2,13,eActorEnum_candidate,00 0D,raw_u16be_window
26279,0x66A7,,2,15,eActorEnum_candidate,00 0F,raw_u16be_window
26284,0x66AC,,2,10,eActorEnum_candidate,00 0A,raw_u16be_window
26289,0x66B1,,2,5,eActorEnum_candidate,00 05,raw_u16be_window
26294,0x66B6,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26295,0x66B7,,2,139,eActorEnum_candidate,00 8B,raw_u16be_window
26299,0x66BB,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26300,0x66BC,,2,26,eActorEnum_candidate,00 1A,raw_u16be_window
26302,0x66BE,,2,55,eActorEnum_candidate,00 37,raw_u16be_window
26304,0x66C0,,2,554,eActorEnum_candidate,02 2A,raw_u16be_window
26313,0x66C9,,2,549,eActorEnum_candidate,02 25,raw_u16be_window
26321,0x66D1,,2,574,eActorEnum_candidate,02 3E,raw_u16be_window
26325,0x66D5,,2,3,eActorEnum_candidate,00 03,raw_u16be_window
26326,0x66D6,,2,866,eActorEnum_candidate,03 62,raw_u16be_window
26328,0x66D8,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26329,0x66D9,,2,55,eActorEnum_candidate,00 37,raw_u16be_window
26331,0x66DB,,2,574,eActorEnum_candidate,02 3E,raw_u16be_window
26336,0x66E0,,2,256,eActorEnum_candidate,01 00,raw_u16be_window
26337,0x66E1,,2,3,eActorEnum_candidate,00 03,raw_u16be_window
26338,0x66E2,,2,768,eActorEnum_candidate,03 00,raw_u16be_window
26339,0x66E3,,2,56,eActorEnum_candidate,00 38,raw_u16be_window
26341,0x66E5,,2,82,eActorEnum_candidate,00 52,raw_u16be_window
26347,0x66EB,,2,1,eActorEnum_candidate,00 01,raw_u16be_window
26348,0x66EC,,2,382,eActorEnum_candidate,01 7E,raw_u16be_window
26354,0x66F2,,2,1,eActorEnum_candidate,00 01,raw_u16be_window
26355,0x66F3,,2,382,eActorEnum_candidate,01 7E,raw_u16be_window
26358,0x66F6,,2,110,eActorEnum_candidate,00 6E,raw_u16be_window
26361,0x66F9,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26362,0x66FA,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26363,0x66FB,,2,12,eActorEnum_candidate,00 0C,raw_u16be_window
26365,0x66FD,,2,339,eActorEnum_candidate,01 53,raw_u16be_window
26367,0x66FF,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26368,0x6700,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26369,0x6701,,2,11,eActorEnum_candidate,00 0B,raw_u16be_window
26371,0x6703,,2,343,eActorEnum_candidate,01 57,raw_u16be_window
26373,0x6705,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26374,0x6706,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26375,0x6707,,2,21,eActorEnum_candidate,00 15,raw_u16be_window
26377,0x6709,,2,354,eActorEnum_candidate,01 62,raw_u16be_window
26379,0x670B,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26380,0x670C,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26381,0x670D,,2,10,eActorEnum_candidate,00 0A,raw_u16be_window
26383,0x670F,,2,373,eActorEnum_candidate,01 75,raw_u16be_window
26385,0x6711,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26386,0x6712,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26387,0x6713,,2,23,eActorEnum_candidate,00 17,raw_u16be_window
26389,0x6715,,2,384,eActorEnum_candidate,01 80,raw_u16be_window
26391,0x6717,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26392,0x6718,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26393,0x6719,,2,24,eActorEnum_candidate,00 18,raw_u16be_window
26395,0x671B,,2,388,eActorEnum_candidate,01 84,raw_u16be_window
26397,0x671D,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26398,0x671E,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26399,0x671F,,2,7,eActorEnum_candidate,00 07,raw_u16be_window
26401,0x6721,,2,400,eActorEnum_candidate,01 90,raw_u16be_window
26403,0x6723,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26404,0x6724,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26405,0x6725,,2,22,eActorEnum_candidate,00 16,raw_u16be_window
26407,0x6727,,2,411,eActorEnum_candidate,01 9B,raw_u16be_window
26409,0x6729,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26410,0x672A,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26411,0x672B,,2,17,eActorEnum_candidate,00 11,raw_u16be_window
26413,0x672D,,2,422,eActorEnum_candidate,01 A6,raw_u16be_window
26415,0x672F,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26416,0x6730,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26417,0x6731,,2,1,eActorEnum_candidate,00 01,raw_u16be_window
26418,0x6732,,2,257,eActorEnum_candidate,01 01,raw_u16be_window
