offset,offset_hex,length,text,population_term,string_class
166122,0x288EA,34,o!blk_freightstation_int_shade_01x,,debug/display text
166162,0x28912,28,blk_blacksmith_int_shade_01x,,unknown
166196,0x28934,26,blk_cityHall_int_shade_01x,,unknown
166228,0x28954,22,blk_bank_int_shade_01x,,unknown
166256,0x28970,29,mor_morningStar_int_shade_01x,,unknown
166291,0x28993,25,blk_gunshop_int_shade_01x,,unknown
166322,0x289B2,23,blk_saloon_int_Props01x,,unknown
166351,0x289CF,18,blk_saloon_int_01x,,unknown
166375,0x289E7,23,dlc_blk_hotel01Props01x,,unknown
166404,0x28A04,19,blk_hotel01Props01x,,unknown
166429,0x28A1D,29,dlc_blk_tailor01_int_Props01x,,unknown
166464,0x28A40,25,blk_tailor01_int_Props01x,,unknown
166495,0x28A5F,24,blk_hotel01_int_Props01x,,unknown
166525,0x28A7D,17,blk_hotel_int_01x,,unknown
166548,0x28A94,23,blk_hotel_int_shade_01x,,unknown
166577,0x28AB1,29,blk_trainstation_int_Props01x,,unknown
166612,0x28AD4,24,blk_trainstation_int_01x,,unknown
166642,0x28AF2,30,mor_morningStar01_int_Props01x,,unknown
166678,0x28B16,23,mor_morningStar_int_01x,,unknown
166707,0x28B33,29,mor_morningStar_int_shade_01x,,unknown
166745,0x28B59,19,rwf_barn01xprops01x,,unknown
166770,0x28B72,24,rwf_livingRoom01props01x,,unknown
166800,0x28B90,19,rwf_barn01xprops02x,,unknown
166825,0x28BA9,24,rwf_livingRoom01props02x,,unknown
166858,0x28BCA,11,beh_silo01x,,unknown
166875,0x28BDB,11,beh_silo02x,,unknown
166895,0x28BEF,12,beh_house01x,,unknown
166913,0x28C01,19,beh_house01props01x,,unknown
166938,0x28C1A,12,beh_house02x,,unknown
166956,0x28C2C,19,beh_house02props01x,,unknown
166984,0x28C48,19,tor_militaryCamp02x,,unknown
167009,0x28C61,19,tor_militaryCamp01x,,unknown
167034,0x28C7A,13,sp_mexArmy03x,,unknown
167056,0x28C90,16,esc_villaWall04x,,likely logic anchor
167078,0x28CA6,16,esc_villaWall05x,,likely logic anchor
167100,0x28CBC,11,sp_rebel05x,,unknown
167117,0x28CCD,19,dlc_esc_bullRing02x,,unknown
167142,0x28CE6,26,dlc_esc_bullRing02Props01x,,unknown
167174,0x28D06,21,dlc_esc_zombieCave02x,,unknown
167201,0x28D21,15,esc_bullRing01x,,unknown
167222,0x28D36,22,esc_bullRing01props01x,,unknown
167250,0x28D52,21,dlc_esc_zombieCave01x,,unknown
167277,0x28D6D,28,dlc_esc_zombieCave01Props01x,,unknown
167311,0x28D8F,28,dlc_esc_zombieCave01Props02x,,unknown
167345,0x28DB1,28,dlc_esc_zombieCave01Props03x,,unknown
167382,0x28DD6,6,icarus,,unknown
167397,0x28DE5,24,chu_gatlingBreakables01x,,unknown
167427,0x28E03,24,lsh_gatlingBreakables01x,,unknown
167463,0x28E27,13,mp_lsh_ffa01x,,unknown
167485,0x28E3D,13,mp_lsh_ffa01x,,unknown
167507,0x28E53,12,sp_anthro01x,,unknown
167534,0x28E6E,12,beh_grave01x,,unknown
167552,0x28E80,12,beh_grave02x,,unknown
167570,0x28E92,12,beh_grave03x,,unknown
167591,0x28EA7,12,beh_grave01x,,unknown
